Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,YES,Fri Aug 16 10:51:38 EDT 2019,InputAndOutput.c,1565967098091,64133,0,(D)1(I)1(D)9(I)1(F)2(D)5,0.10526315789473684,78.94736842105263,0.0,10.526315789473683,0.0,0.0,0.296875,0.0,0.234375,0.03125,0.0,0.0,0.03125,0.0,[]
2,NO,Fri Aug 16 10:52:42 EDT 2019,pass.c,1565967162228,237762,0,(D)1(F)4(I)1(F)4(I)3(F)4(I)5,0.4090909090909091,4.545454545454546,0.0,54.54545454545454,0.0,0.0,0.09282700421940929,0.0,0.004219409282700422,0.05063291139240506,0.0,0.0,0.0379746835443038,0.0,[]
3,NO,Fri Aug 16 10:56:40 EDT 2019,pass.c,1565967400535,4390052,0,(I R)1(I)3(R)1(I)2(F)2(D)6(F)6(I)1(F)1,0.30434782608695654,26.08695652173913,0.0,39.130434782608695,0.0,0.0,0.005239179954441914,0.0,0.001366742596810934,0.002050113895216401,0.0,4.5558086560364467E-4,0.0015945330296127562,19.0,[1565970481575 4 Course Offerings - Computer Science https://cs.unc.edu/academics/teaching-schedules/, 1565971368069 1 java Logger flush - Google Search https://www.google.com/search?q=java+Logger+flush&rlz=1C1GCEA_enUS808US808&oq=java+Logger+flush&aqs=chrome..69i57j0l2.10569j0j7&sourceid=chrome&ie=UTF-8, 1565971371666 1 Flush File Handler and Logger : Log « Language Basics « Java http://www.java2s.com/Code/Java/Language-Basics/FlushFileHandlerandLogger.htm, 1565971427587 1 Logger java api - Google Search https://www.google.com/search?q=Logger+java+api&rlz=1C1GCEA_enUS808US808&oq=Logger+java+api&aqs=chrome..69i57j0l5.7788j0j4&sourceid=chrome&ie=UTF-8, 1565971574529 1 Java FileHandler api - Google Search https://www.google.com/search?q=Java+FileHandler+api&rlz=1C1GCEA_enUS808US808&oq=Java+FileHandler+api&aqs=chrome..69i57j33.10035j0j4&sourceid=chrome&ie=UTF-8, 1565971645544 1 StreamHandler (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/StreamHandler.html]
4,NO,Fri Aug 16 12:09:50 EDT 2019,pass.c,1565971790610,3601743,0,(F)25,0.0,0.0,0.0,100.0,0.0,0.0,0.0069425159677867256,0.0,0.0,0.0069425159677867256,0.0,0.0,0.0,8.0,[1565971901712 2 FileHandler (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/FileHandler.html, 1565971945235 1 StreamHandler (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/StreamHandler.html#isLoggable(java.util.logging.LogRecord), 1565972745422 1 java filehandler getoutputstream - Google Search https://www.google.com/search?q=java+filehandler+getoutputstream&rlz=1C1GCEA_enUS808US808&oq=Java+FileHandler+getOu&aqs=chrome.1.69i57j33l2.10438j0j7&sourceid=chrome&ie=UTF-8, 1565973365423 1 logging.handlers — Logging handlers — Python 3.7.4 documentation https://docs.python.org/3/library/logging.handlers.html, 1565973477065 1 Logger java api - Google Search https://www.google.com/search?q=Logger+java+api&rlz=1C1GCEA_enUS808US808&oq=Logger+java+api&aqs=chrome.0.69i59j0l4j69i60.6141j0j4&sourceid=chrome&ie=UTF-8, 1565974235995 1 Java logger stale stream - Google Search https://www.google.com/search?q=Java+logger+stale+stream&rlz=1C1GCEA_enUS808US808&oq=Java+logger+stale+stream&aqs=chrome..69i57j33.12660j0j7&sourceid=chrome&ie=UTF-8, 1565974255849 1 java - Log4j suddenly stops logging - Stack Overflow https://stackoverflow.com/questions/14242035/log4j-suddenly-stops-logging]
5,NO,Fri Aug 16 13:09:59 EDT 2019,pass.c,1565975399911,24750878,0,(F)25,0.0,0.0,0.0,100.0,0.0,0.0,0.00101010101010101,0.0,0.0,0.00101010101010101,0.0,0.0,0.0,6.0,[1565982968943 3 ConnectCarolina https://connectcarolina.unc.edu/, 1565999686864 4 Logger (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/Logger.html, 1565999684469 1 Logger java api - Google Search https://www.google.com/search?q=Logger+java+api&rlz=1C1GCEA_enUS808US808&oq=Logger+java+api&aqs=chrome.0.69i59j0l4j69i60.7510j0j7&sourceid=chrome&ie=UTF-8]
,NO,Fri Aug 16 13:09:59 EDT 2019,pass.c, 1565975399911
6,NO,Fri Aug 16 20:02:33 EDT 2019,pass.c,1566000153509,-32818196,-32818196,(F)10(I)6(R)1(I)3(N)5,0.36,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
7,YES,Fri Aug 16 10:55:55 EDT 2019,pass.c,1565967355461,89506110,0,(N)1(I)1(N)1(R)1(I)2(R)1(I)5(R)1(I)4(R)1(I)7,0.76,0.0,8.0,0.0,0.0,0.0,2.79310884186535E-4,2.23448707349228E-5,0.0,0.0,0.0,4.46897414698456E-5,2.1227627198176657E-4,39.0,[1565982968943 3 ConnectCarolina https://connectcarolina.unc.edu/, 1565970481575 4 Course Offerings - Computer Science https://cs.unc.edu/academics/teaching-schedules/, 1565999686864 4 Logger (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/Logger.html, 1566009240500 1  https://faculty.nps.edu/ncrowe/book/chap5.html, 1565971368069 1 java Logger flush - Google Search https://www.google.com/search?q=java+Logger+flush&rlz=1C1GCEA_enUS808US808&oq=java+Logger+flush&aqs=chrome..69i57j0l2.10569j0j7&sourceid=chrome&ie=UTF-8, 1565971371666 1 Flush File Handler and Logger : Log « Language Basics « Java http://www.java2s.com/Code/Java/Language-Basics/FlushFileHandlerandLogger.htm, 1565971427587 1 Logger java api - Google Search https://www.google.com/search?q=Logger+java+api&rlz=1C1GCEA_enUS808US808&oq=Logger+java+api&aqs=chrome..69i57j0l5.7788j0j4&sourceid=chrome&ie=UTF-8, 1565971574529 1 Java FileHandler api - Google Search https://www.google.com/search?q=Java+FileHandler+api&rlz=1C1GCEA_enUS808US808&oq=Java+FileHandler+api&aqs=chrome..69i57j33.10035j0j4&sourceid=chrome&ie=UTF-8, 1565971901712 2 FileHandler (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/FileHandler.html, 1565971645544 1 StreamHandler (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/StreamHandler.html, 1565971945235 1 StreamHandler (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/logging/StreamHandler.html#isLoggable(java.util.logging.LogRecord), 1565972745422 1 java filehandler getoutputstream - Google Search https://www.google.com/search?q=java+filehandler+getoutputstream&rlz=1C1GCEA_enUS808US808&oq=Java+FileHandler+getOu&aqs=chrome.1.69i57j33l2.10438j0j7&sourceid=chrome&ie=UTF-8, 1565973365423 1 logging.handlers — Logging handlers — Python 3.7.4 documentation https://docs.python.org/3/library/logging.handlers.html, 1565973477065 1 Logger java api - Google Search https://www.google.com/search?q=Logger+java+api&rlz=1C1GCEA_enUS808US808&oq=Logger+java+api&aqs=chrome.0.69i59j0l4j69i60.6141j0j4&sourceid=chrome&ie=UTF-8, 1565974235995 1 Java logger stale stream - Google Search https://www.google.com/search?q=Java+logger+stale+stream&rlz=1C1GCEA_enUS808US808&oq=Java+logger+stale+stream&aqs=chrome..69i57j33.12660j0j7&sourceid=chrome&ie=UTF-8, 1565974255849 1 java - Log4j suddenly stops logging - Stack Overflow https://stackoverflow.com/questions/14242035/log4j-suddenly-stops-logging, 1565999684469 1 Logger java api - Google Search https://www.google.com/search?q=Logger+java+api&rlz=1C1GCEA_enUS808US808&oq=Logger+java+api&aqs=chrome.0.69i59j0l4j69i60.7510j0j7&sourceid=chrome&ie=UTF-8]
8,NO,Sat Aug 17 11:47:42 EDT 2019,pass.c,1566056862038,168632,0,(R)1(I)1(R)1(I)3(R)1(I)4(F)4(I)10,0.72,0.0,0.0,16.0,0.0,0.0,0.1488095238095238,0.0,0.0,0.023809523809523808,0.0,0.017857142857142856,0.10714285714285714,2.0,[1566056940573 1 c - String in function parameter - Stack Overflow https://stackoverflow.com/questions/17111140/string-in-function-parameter]
9,YES,Sat Aug 17 11:50:34 EDT 2019,pass.c,1566057034950,131,131,(I)11(R)1(I)4(R)1(I)3(R)1(I)4,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
