Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
7,NO,Thu Aug 15 20:52:40 EDT 2019,test.lisp,1565916760215,-19,-19,(I R)1(I)1(I R)1(R)2(I)1(R)1(N)2(R)1,0.4,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
8,NO,Thu Aug 15 20:52:43 EDT 2019,test.lisp,1565916763552,52943,0,(R)1(N)1(R)1(I)6,0.6666666666666666,0.0,11.11111111111111,0.0,0.0,0.0,0.17307692307692307,0.019230769230769232,0.0,0.0,0.0,0.038461538461538464,0.11538461538461539,0.0,[]
9,NO,Thu Aug 15 20:53:37 EDT 2019,test.lisp,1565916817336,7142,0,(I)3(R)2(I)3(R)2,0.6,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,[]
,NO,Thu Aug 15 20:53:37 EDT 2019,test.lisp, 1565916817336
10,NO,Thu Aug 15 20:53:45 EDT 2019,test.lisp,1565916825843,25660,0,(I)9,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.0,[]
11,NO,Thu Aug 15 20:54:11 EDT 2019,test.lisp,1565916851986,85393,0,(R)1(I R)1(I)1(I R)1(F)5,0.3333333333333333,0.0,0.0,55.55555555555556,0.0,0.0,0.10588235294117647,0.0,0.0,0.058823529411764705,0.0,0.03529411764705882,0.03529411764705882,0.0,[]
12,NO,Thu Aug 15 20:55:42 EDT 2019,test.lisp,1565916942143,67387,0,(F)5(I)5,0.5,0.0,0.0,50.0,0.0,0.0,0.14925373134328357,0.0,0.0,0.07462686567164178,0.0,0.0,0.07462686567164178,2.0,[1565916957916 1 lisp set a variable - Google Search https://www.google.com/search?q=lisp+set+a+variable&rlz=1C1GCEA_enUS808US808&oq=lisp+set+a+variable&aqs=chrome..69i57j0l5.3712j0j4&sourceid=chrome&ie=UTF-8, 1565916963095 1 Setting Variables - GNU Emacs Lisp Reference Manual https://www.gnu.org/software/emacs/manual/html_node/elisp/Setting-Variables.html]
,NO,Thu Aug 15 20:55:42 EDT 2019,test.lisp, 1565916942143
13,NO,Thu Aug 15 20:56:50 EDT 2019,test.lisp,1565917010190,59667,0,(I)2(R)1(I)5,0.875,0.0,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.0,0.0,0.0,0.01694915254237288,0.11864406779661017,0.0,[]
14,NO,Thu Aug 15 20:57:50 EDT 2019,test.lisp,1565917070136,-59974,-59974,(I)2(F)2(I)2(F)1(R)1(I)1,0.5555555555555556,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
15,NO,Thu Aug 15 20:56:50 EDT 2019,test.lisp,1565917010408,173190,0,(I)1(R)1(I)3(N)2(F)1(I)1(F)1,0.5,0.0,20.0,20.0,0.0,0.0,0.057803468208092484,0.011560693641618497,0.0,0.011560693641618497,0.0,0.005780346820809248,0.028901734104046242,0.0,[]
,NO,Thu Aug 15 20:56:50 EDT 2019,test.lisp, 1565917010408
16,NO,Thu Aug 15 21:01:42 EDT 2019,test.lisp,1565917302241,121374,0,(F)3(I)4(R)1(F)1,0.4444444444444444,0.0,0.0,44.44444444444444,0.0,0.0,0.0743801652892562,0.0,0.0,0.03305785123966942,0.0,0.008264462809917356,0.03305785123966942,0.0,[]
17,NO,Thu Aug 15 21:05:26 EDT 2019,test.lisp,1565917526342,171518,0,(F)3(N)1(F)6,0.0,0.0,10.0,90.0,0.0,0.0,0.05847953216374269,0.005847953216374269,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,[]
18,NO,Thu Aug 15 21:08:45 EDT 2019,test.lisp,1565917725904,87390,0,(F)2(I)7,0.7777777777777778,0.0,0.0,22.22222222222222,0.0,0.0,0.10344827586206896,0.0,0.0,0.022988505747126436,0.0,0.0,0.08045977011494253,0.0,[]
,NO,Thu Aug 15 21:08:45 EDT 2019,test.lisp, 1565917725904
19,NO,Thu Aug 15 21:10:14 EDT 2019,test.lisp,1565917814712,11598,0,(I)3(R)2(I)4(R)1,0.7,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.6363636363636364,0.0,[]
20,NO,Thu Aug 15 21:10:26 EDT 2019,test.lisp,1565917826953,43456,0,(I)10,1.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,[]
21,NO,Thu Aug 15 21:11:12 EDT 2019,test.lisp,1565917872183,50949,0,(R)1(F)2(I)7,0.7,0.0,0.0,20.0,0.0,0.0,0.2,0.0,0.0,0.04,0.0,0.02,0.14,2.0,[1565917885819 1 clisp define function - Google Search https://www.google.com/search?q=clisp+define+function&rlz=1C1GCEA_enUS808US808&oq=clisp+define+function&aqs=chrome..69i57j0l5.5622j1j7&sourceid=chrome&ie=UTF-8, 1565917888845 1 Common Lisp/Basic topics/Functions - Wikibooks, open books for an open world https://en.wikibooks.org/wiki/Common_Lisp/Basic_topics/Functions]
,NO,Thu Aug 15 21:11:12 EDT 2019,test.lisp, 1565917872183
22,NO,Thu Aug 15 21:10:51 EDT 2019,test.lisp,1565917851308,72647,0,(I)2(R)1(N)2(I)3(R)2,0.5,0.0,20.0,0.0,0.0,0.0,0.1388888888888889,0.027777777777777776,0.0,0.0,0.0,0.041666666666666664,0.06944444444444445,2.0,[1565917885819 1 clisp define function - Google Search https://www.google.com/search?q=clisp+define+function&rlz=1C1GCEA_enUS808US808&oq=clisp+define+function&aqs=chrome..69i57j0l5.5622j1j7&sourceid=chrome&ie=UTF-8, 1565917888845 1 Common Lisp/Basic topics/Functions - Wikibooks, open books for an open world https://en.wikibooks.org/wiki/Common_Lisp/Basic_topics/Functions]
23,NO,Thu Aug 15 21:12:04 EDT 2019,test.lisp,1565917924108,13295,0,(R)1(I)2(R)2(I)2(R)2(I)1,0.5,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,[]
