Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
5,NO,Tue Aug 13 12:38:02 EDT 2019,test.pl,1565714282738,178642,0,(F)7(I)2,0.2222222222222222,0.0,0.0,77.77777777777779,0.0,0.0,0.05056179775280899,0.0,0.0,0.03932584269662921,0.0,0.0,0.011235955056179775,1.0,[]
6,NO,Tue Aug 13 12:41:16 EDT 2019,test.pl,1565714476669,136802,0,(I)2(F)4(I)2,0.5,0.0,0.0,50.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,[]
,NO,Tue Aug 13 12:41:16 EDT 2019,test.pl, 1565714476669
7,NO,Tue Aug 13 12:43:35 EDT 2019,test.pl,1565714615671,87467,0,(I)1(F)2(I)1,0.5,0.0,0.0,50.0,0.0,0.0,0.04597701149425287,0.0,0.0,0.022988505747126436,0.0,0.0,0.022988505747126436,3.0,[1565714670465 1 prolog query example - Google Search https://www.google.com/search?q=prolog+query+example&rlz=1C1GCEA_enUS808US808&oq=Prolog+query+&aqs=chrome.1.69i57j0l5.6938j0j9&sourceid=chrome&ie=UTF-8, 1565714674257 1 Facts, rules, goals and queries http://www.ablmcc.edu.hk/~scy/prolog/pro02.htm]
8,NO,Tue Aug 13 12:45:04 EDT 2019,test.pl,1565714704812,-421387,-421387,(F)1(N)1(I)1,0.3333333333333333,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
9,NO,Tue Aug 13 12:40:55 EDT 2019,test.pl,1565714455806,379957,0,(N)1(I)1(R)1(I)1(R)1(I)1(R)1(F)1(I)1(R)1,0.4,0.0,10.0,10.0,0.0,0.0,0.026385224274406333,0.002638522427440633,0.0,0.002638522427440633,0.0,0.010554089709762533,0.010554089709762533,5.0,[1565714670465 1 prolog query example - Google Search https://www.google.com/search?q=prolog+query+example&rlz=1C1GCEA_enUS808US808&oq=Prolog+query+&aqs=chrome.1.69i57j0l5.6938j0j9&sourceid=chrome&ie=UTF-8, 1565714674257 1 Facts, rules, goals and queries http://www.ablmcc.edu.hk/~scy/prolog/pro02.htm, 1565714749064 1 arithmetic in prolog - Google Search https://www.google.com/search?q=arithmetic+in+prolog&rlz=1C1GCEA_enUS808US808&oq=airthmetic+in+Pr&aqs=chrome.1.69i57j0l5.5549j0j4&sourceid=chrome&ie=UTF-8, 1565714800335 1 User input in prolog - Stack Overflow https://stackoverflow.com/questions/9849373/user-input-in-prolog?rq=1]
,NO,Tue Aug 13 12:40:55 EDT 2019,test.pl, 1565714455806
10,NO,Tue Aug 13 12:47:16 EDT 2019,test.pl,1565714836472,125574,0,(I)1(R)1(F)2(I)3(F)3,0.4,0.0,0.0,50.0,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.008,0.032,4.0,[1565714847762 2 2.3 Arithmetic in Prolog http://www-users.york.ac.uk/~sjh1/courses/L334css/complete/complete2su8.html, 1565714845561 2 input in prolog - Google Search https://www.google.com/search?q=input+in+prolog&rlz=1C1GCEA_enUS808US808&oq=input+in+Prolog&aqs=chrome.0.0l6.3806j0j4&sourceid=chrome&ie=UTF-8, 1565714950314 1 relational operations Prolog - Google Search https://www.google.com/search?q=relational+operations+Prolog&rlz=1C1GCEA_enUS808US808&oq=relational+operations+Prolog&aqs=chrome..69i57j0.8620j0j4&sourceid=chrome&ie=UTF-8, 1565714953554 1 comparison http://www.cse.unsw.edu.au/~billw/dictionaries/prolog/comparison.html]
11,NO,Tue Aug 13 12:49:22 EDT 2019,test.pl,1565714962052,31012,0,(F)3(I)2(R)1(I)3(R)1,0.5,0.0,0.0,30.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.0967741935483871,0.0,0.06451612903225806,0.16129032258064516,0.0,[]
12,NO,Tue Aug 13 12:49:56 EDT 2019,test.pl,1565714996489,15794,0,(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)2,0.6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.26666666666666666,0.4,0.0,[]
